filename,style,aspect_ratio,prompt
home-hero-sailing-action.jpg,Photorealistic photography,16:9,"Wide cinematic photo of a modern white sailboat sailing smoothly across deep blue ocean water on a sunny day, view from low angle near water level, sails full of wind, small water spray at the bow, warm golden sunlight on the sails, distant green coastline on the horizon, feeling of freedom and adventure, natural lighting, photorealistic, high detail."
course-card-initiation.jpg,Photorealistic photography,4:3,"Close-up photo of two hands tying a figure-eight knot on a thick nautical rope, blurred wooden boat deck and blue water in the background, bright natural daylight, sharp focus on rope texture and hands, learning and hands-on skill, photorealistic, high detail."
course-card-advanced.jpg,Photorealistic photography,4:3,"Three sailing students on a sailboat deck adjusting a rope together, wearing life jackets, smiling and focused, teamwork and learning moment, calm blue sea and clear sky, natural daylight, photorealistic, high detail."
course-card-safety.jpg,Photorealistic photography,4:3,"Professional sailing instructor showing how to properly wear a life jacket and safety harness on a boat deck, clear blue sky in background, focus on safety equipment, calm and reassuring atmosphere, bright natural lighting, photorealistic, high detail."
icon-3d-certificate.png,3D Illustration (Clay style),1:1,"3D icon of a paper certificate with a gold seal and blue ribbon, soft clay style, simple shapes, soft studio lighting, pastel blue and white colors, centered, isolated on a clean transparent background."
icon-3d-instructor.png,3D Illustration,1:1,"3D icon of a white captain hat with black visor and small gold emblem, soft clay style, minimal and rounded shapes, soft shadows, blue and white palette, centered, isolated on a transparent background."
icon-3d-community.png,3D Illustration,1:1,"3D icon of three simple human figures standing close together in a circle, soft clay style, symbol of community and connection, pastel blue and white colors, soft lighting, centered, isolated on a transparent background."
course-detail-header-sailing.jpg,Photorealistic photography,16:9,"Wide panoramic photo of the open sea viewed from the deck of a sailboat, straight horizon line, sky with soft clouds taking most of the upper frame, lower part shows the bow and deep blue water, calm and inspiring atmosphere, natural lighting, photorealistic, high detail."
instructor-avatar-default.jpg,Studio Photography,1:1,"Studio headshot of a friendly sailing instructor wearing a navy blue polo shirt, neutral grey background, smiling and approachable expression, soft even studio lighting, photorealistic, high detail."
unit-content-wind-direction.jpg,Educational Illustration,3:2,"Photo of a small sailboat sailing on blue water with simple semi-transparent arrows overlaid showing wind direction, clean educational style, clear visual contrast, minimal text, instructional look."
unit-content-parts-of-boat.jpg,Technical Illustration,3:2,"Clean technical illustration of a small sailboat from the side, simple lines and flat colors on a light background, labeled main parts with thin leader lines, modern educational diagram style."
feedback-success-confetti.png,3D Illustration,4:3,"3D confetti pieces shaped like small anchors and stars floating in the air, blue gold and white colors, soft clay style, joyful and celebratory mood, centered composition, isolated on a clean transparent background."
evaluation-loading-compass.jpg,Photorealistic photography (Macro),16:9,"Close-up photo of a brass compass on a wooden navigation table next to a rolled nautical map, shallow depth of field, warm soft lighting, cozy exploration atmosphere, sharp detail on the compass needle, photorealistic."
icon-result-success.svg,Flat Vector Icon,1:1,"Simple flat icon of a small sailboat moving forward on a wave, green circular background, clean white lines, minimal modern design."
icon-result-fail.svg,Flat Vector Icon,1:1,"Simple flat icon of a small sailboat next to a buoy on calm water, soft red or orange circular background, clean white lines, minimal modern design."
rank-badge-grumete.png,3D Badge,1:1,"3D round badge with bronze metal look, simple rope knot symbol in the center, soft shine, game-style achievement badge, centered, isolated on a transparent background."
rank-badge-capitan.png,3D Badge,1:1,"3D shield-shaped badge with gold metal look, ship wheel and anchor symbol in the center, premium achievement style, soft glow, centered, isolated on a transparent background."
default-student-avatar.png,Flat Vector Illustration,1:1,"Flat illustration of a person wearing a yellow rain hat and blue coat, simple geometric shapes, pastel colors, friendly and gender neutral, circular frame, minimal style."
brand-logo-sail.png,Vector Logo,1:1,"Minimalist abstract logo made of two overlapping sail shapes forming a simple boat silhouette, gradient blue tones, clean geometric design, centered on a light background."
empty-state-no-courses.svg,Linear Illustration,4:3,"Minimal line illustration of a calm sea horizon with a small distant paper boat, lots of white space, soft blue lines, peaceful and simple design."
empty-state-no-certificates.svg,Linear Illustration,4:3,"Minimal line illustration of an empty picture frame on a wall and a small rolled scroll below, thin clean lines, lots of white space, simple and calm design."
bg-texture-waves.png,Seamless Pattern,1:1,"Seamless repeating pattern of simple stylized wave shapes, very light blue lines on a white background, minimalist and elegant nautical texture."
bg-texture-maps.png,Seamless Pattern,16:9,"Abstract seamless pattern of thin contour lines inspired by ocean depth maps, soft blue lines on a light background, clean and subtle nautical texture."
about-hero-heritage.jpg,Cinematic Photography,16:9,"Vintage style black and white or sepia photo of a classic sailboat racing in the 1990s, dynamic angle, film grain, capturing the history and tradition of sailing, authentic maritime atmosphere."
about-value-passion.jpg,Photorealistic Macro,1:1,"Close up detail of a hand gripping a wooden tiller or rudder, salt spray, sunlight focusing on the texture of the wood and water, symbolizing passion for the sea, high detail, warm lighting."
about-value-experience.jpg,Photorealistic Photography,1:1,"Experienced captain looking out to the horizon with binoculars, weathered face, wearing nautical gear, soft focus background of the sea, wisdom and safety, natural lighting."
about-value-community.jpg,Photorealistic Photography,1:1,"Group of sailors sharing a meal or laughing on a boat deck at sunset, warm golden hour light, genuine smiles, sense of camaraderie and family, relaxed atmosphere."
home-cta-join.jpg,Cinematic Photography,16:9,"Wide shot of a sailboat heading towards a stunning sunset, symbolizing a journey and new beginnings, inspirational and emotional, warm colors, silhouette of the boat against the sun."
home-fleet-preview.jpg,Cinematic Photography,16:9,"Wide drone shot of a fleet of white J80 sailboats docked in a modern marina in Getxo, orderly rows, calm blue water, golden sunset light reflecting on the hulls, high quality architectural photography style."
rental-category-windsurf.jpg,Action Photography,4:3,"Dynamic shot of a windsurfer gliding fast over water, splashing spray, colorful sail, sunny day with blue sky, focus on action and speed."
rental-category-kayak.jpg,Lifestyle Photography,4:3,"Two people kayaking in a calm bay near cliffs, calm water, perspective from slightly above, bright and cheerful colors, nature and exploration vibe."
rental-category-paddle.jpg,Lifestyle Photography,4:3,"Person doing stand up paddle boarding on a calm morning, glass-like water reflecting the sky, peaceful and meditative, soft sunrise lighting."
rental-category-dinghy.jpg,Action Photography,4:3,"Small white sailing dinghy (Optimist or Laser) sailing fast, leaning with the wind, young sailor hiking out, water spray, dynamic and fun."
course-license-navigation.jpg,Photorealistic Photography,16:9,"Navigation chart and tools on a table, compass, ruler, pencil, hands plotting a course, focus on the technical aspect of navigation, bridge of a boat background, educational and professional."
